naam,officiële website,land van nationaliteit,IMDb-identificatiecode,geboortedatum,aantal volgers op sociale media,voornaam,beroep,geboorteplaats,sekse of geslacht,GTAA-identificatiecode,Instagram-gebruikersnaam,Twitter-gebruikersnaam,werkperiode (begin),afbeelding,familienaam,ČSFD-identificatiecode voor persoon,Freebase-identificatiecode,is een,kind,Commonscategorie,geboortenaam,werken in collectie,auteursrechtenstatus van maker,overlijdensplaats,overlijdensdatum,naam in moedertaal,Stadsarchief Rotterdam-identificatiecode voor persoon of organisatie,MusicBrainz-identificatiecode voor artiest,Acharts.co-identificatiecode voor artiest,VIAF-identificatiecode,Europeana Entity-identificatiecode,WorldCat Identities-identificatiecode,instrument,PORT-identificatiecode voor persoon,ISNI-identificatiecode,Kinopoisk-identificatiecode voor persoon,AlloCiné-identificatiecode voor persoon,NTA-identificatiecode,Muziekweb-identificatiecode voor uitvoerend artiest,platenlabel,MovieMeter-identificatiecode voor regisseur,AllMovie-identificatiecode voor artiest,wijze van overlijden,doodsoorzaak,Filmweb.pl-identificatiecode voor persoon,huwelijkspartner,GND-identificatiecode,Cultureel Woordenboek-identificatiecode,LCAuth-identificatiecode,deelgenomen aan,Discogs-identificatiecode voor artiest,genre,Nederlandse Top 40-identificatiecode voor artiest,AllMusic-identificatiecode voor artiest,ontvangen prijs,aantal kinderen,pseudoniem,Kunstenpunt-identificatiecode voor persoon,vader,Songkick-identificatiecode voor artiest,video,NKC-identificatiecode,CONOR.SI-identificatiecode,SFDb-identificatiecode voor persoon,Elonet-identificatiecode voor acteur,Scope.dk-identificatiecode voor persoon,Filmportal-identificatiecode,Deutsche Biographie-identificatiecode,Deutsche Synchronkartei-identificatiecode voor acteur,SUDOC-identificatiecode,lid van,BnF-identificatiecode,DNF-identificatiecode voor persoon,Google Knowledge Graph-identificatiecode,beschreven op URL,INDUCKS-identificatiecode voor maker,DBNL-identificatiecode voor auteur,RKDartists-identificatiecode,Jeugdliteratuur-identificatiecode,taalbeheersing,beschreven door bron,moedertaal,onderhouden door wikiproject,stem,elFilm-identificatiecode voor persoon,lesarchivesduspectacle-identificatiecode,KMDb-identificatiecode voor persoon,elCinema-identificatiecode voor persoon,OMDB-identificatiecode voor persoon,EDb-identificatiecode voor persoon,sport,BNE-identificatiecode,Genius-identificatiecode voor artiest (numeriek),Genius-identificatiecode voor artiest,Quora-identificatiecode voor onderwerp,TMDb-identificatiecode voor persoon,Cinemagia-identificatiecode voor acteur,Biografisch Portaal-identificatiecode,Biografisch Woordenboek van Nederland: 1880-2000-identificatiecode,op focuslijst van Wikimedia-project,relevant werk,NUKAT-identificatiecode,schrijftaal,FAST-identificatiecode,BIBSYS-identificatiecode,opleiding gevolgd aan,Find a Grave-identificatiecode voor graf,DVN-identificatiecode,student van,broer of zus,floruit,Lambiek Comiclopedia-identificatiecode voor kunstenaar,onderdeel van,Norwegian Nationaltheatret-identificatiecode voor acteur,werkveld,gesproken tekst,KRNLK-identificatiecode,BNB-identificatiecode voor persoon,NDL-identificatiecode,Babelio-identificatiecode voor auteur,lid van sportteam of club,transfermarkt-identificatiecode voor voetballer,sportnationaliteit,positie van speler / specialiteit,Eu-football.info-identificatiecode voor speler,National-Football-Teams.com-identificatiecode voor speler,ambt,werkgever,moeder,Artnet-identificatiecode voor kunstenaar,Artsy-identificatiecode voor artiest,Munzinger Pop-identificatiecode,DACS-identificatiecode,PictoRight-identificatiecode voor kunstenaar,SNAC-identificatiecode,Invaluable.com-identificatiecode voor kunstenaar,auteursrechtvertegenwoordiger,Rock's Backpages-identificatiecode voor artiest,Christie's-identificatiecode voor kunstenaar,werklocatie,MutualArt-identificatiecode voor kunstenaar,foto van graf,Commonscreatorpagina,WikiTree-identificatiecode,ArtBrokerage-identificatiecode voor artiest,Geni.com-identificatiecode,hoofdcategorie van onderwerp,Billboard-identificatiecode voor artiest,Benezit-identificatiecode,partner,verkorte naam,NLP-identificatiecode (record)
Cynthia_Abma,http://www.cynthiaabma.nl/,Koninkrijk der Nederlanden,nm0008819,1969-05-31T00:00:00Z,20023,Cynthia,televisieacteur;televisiepresentator,Rotterdam,vrouwelijk,75182,cynthiaabma,CynthiaAbma1,1990-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Cynthia%20Abma.jpg,Abma,407951,/m/0hj9wvj,mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ab_Abspoel,,Koninkrijk der Nederlanden,nm0009428,1925-04-29T00:00:00Z,,Albert,televisieacteur,Den Haag,mannelijk,75249,,,1959-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Leo%20de%20Hartogh%2C%20Elisabeth%20Versluys%20en%20Ab%20Abspoel%20%281961%29.jpg,,,,mens,Michael Abspoel,Ab Abspoel,Albert Abspoel,Stadsarchief Rotterdam,oeuvre auteursrechtelijk beschermd,Amstelveen,2000-03-28T00:00:00Z,Ab Abspoel,136880111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas_Acda,http://www.thomasacda.nl/,Koninkrijk der Nederlanden,nm0009636,1967-03-06T00:00:00Z,,Thomas,zanger;televisieacteur;filmregisseur;cabaretier;filmacteur,De Rijp,mannelijk,75284,,,1993-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Acda.jpg,,166741,/m/0956kz,mens,,Thomas Acda,,,,,,,,b750b2e4-7fc0-4312-88a7-76b8e59bc896,thomas_acda,284511467,agent/base/159589,viaf-284511467,stem,204095,0000 0003 6913 2522,255303,266025,19152266X,M00000013049,Universal Music Group,42308,p232076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christel_Adelaar,,Koninkrijk der Nederlanden,nm0011780,1935-02-14T00:00:00Z,,Christel,acteur;zanger;televisiepresentator;presentator,Semarang,vrouwelijk,75415,,,1955-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Christel%20Adelaar.png,Adelaar,,/m/0pk_13w,mens,,Christel Adelaar,,,,Heemstede,2013-01-10T00:00:00Z,,,,,,,,stem,,,,,,,,,,natuurlijke dood,longkanker,701918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achmed_Akkabi,,Koninkrijk der Nederlanden,nm2403095,1983-10-03T00:00:00Z,,Achmed,acteur;televisieacteur;televisiepresentator;presentator;filmacteur,Den Haag,mannelijk,209882,,,2006-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Achmed%20Akkabi%20and%20Liliana%20de%20Vries%20%28cropped%29%20-%20Achmed%20Akkabi.jpg,,225746,/m/05z_18j,mens,,Achmed Akkabi,,,,,,,,,,291688441,,viaf-291688441,,,0000 0003 9666 8525,1174802,176750,330357425,,,,p553804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willeke_Alberti,https://willekealberti.nl,Koninkrijk der Nederlanden,nm0016675,1945-02-03T00:00:00Z,,Willeke,zanger;televisieacteur;filmacteur;studiomuzikant,Amsterdam,vrouwelijk,76612,,,1956-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Willeke%20Alberti.jpg,Alberti,400394,/m/01vs48f,mens,Daniëlle Oonk;Johnny de Mol,Willeke Alberti,Willy Albertina Verbrugge,,,,,,,4a55ccc3-2c29-4e2b-9101-fcf45472a527,willeke_alberti,289567214,agent/base/69178,lccn-n2016029753,stem,,0000 0003 7237 8005,,,073599476,M00000077610,Philips Records,,,,,,Joop Oonk;John de Mol jr.;Søren Lerby,1072111063,populaire-muziek/willeke-alberti,n2016029753,Eurovisiesongfestival 1994,282286,Nederlandstalige muziek;levenslied,willeke-alberti,mn0002185869,Ridder in de Orde van Oranje-Nassau;Gouden Harp,3,Willeke Alberti,1911773,Willy Alberti,453696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlies_van_Alcmaer,,Koninkrijk der Nederlanden,nm0017236,1938-01-30T00:00:00Z,,Marlies,acteur,Alkmaar,vrouwelijk,76677,,,1962-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Marlies%20van%20Alcmaer.png,,364996,/m/0pxfgx_,mens,,Marlies van Alcmaer,,,,,,,,388a9c28-f22b-4f3e-abc3-88def2e0f621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marjolein_Algera,,Koninkrijk der Nederlanden,nm1131818,1965-11-25T00:00:00Z,,Marjolein,stemacteur,,vrouwelijk,,,,,,,431636,,mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Najib_Amhali,,Koninkrijk der Nederlanden,nm0024801,1971-04-04T00:00:00Z,,Najib,acteur;televisieacteur;cabaretier;filmacteur,Nador,mannelijk,76888,,,1989-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Najib%20Amhali%20-%20Daten%20-%20Klassieker.webm%2002.jpg,,,/m/025w_17,mens,,,,,,,,,,,najib_amhali,120621237,agent/base/90332,viaf-120621237,,,0000 0003 7206 4743,,,261981013,,,,p267628,,,,,,,,,,,,,Leids Cabaret Festival,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Najib%20Amhali%20-%20Daten%20-%20Klassieker.webm,pna2010571721,75274595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willeke_van_Ammelrooy,http://www.willekevanammelrooy.nl,Koninkrijk der Nederlanden,nm0002168,1944-04-05T00:00:00Z,,Willeke,acteur;filmregisseur;filmacteur,Amsterdam,vrouwelijk,76918,,,1966-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Willeke%20van%20Ammelrooy.png,Ammelrooy,6761,/m/026rdvc,mens,Denise Janzee,Willeke van Ammelrooy,,,,,,,,,,64207770,,lccn-no96054296,,19462,0000 0000 7840 8875,100612,22613,071309713,,,13436,p72793,,,,,140324895,film/willeke-van-ammelrooy,no96054296,,1371200,,,,Gouden Kalf voor beste actrice,,,,,,,,,100017;223772,224173,7463,151eb43df43d41cd81f801e6ef89c7d2,140324895,10211,081259743,ShortCutz Amsterdam Jury leden,14045075n,22840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sander_van_Amsterdam,,Koninkrijk der Nederlanden,nm2196133,1988-10-21T00:00:00Z,,Sander,acteur,Alkmaar,mannelijk,238492,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Noa%20robbie%20huisanubis.JPG,van Amsterdam,96820,,mens,,Sander van Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/g/122zd7t7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingeborg_Ansing,,Koninkrijk der Nederlanden,nm0030631,1963-07-17T00:00:00Z,,Ingeborg,acteur,Zaltbommel,vrouwelijk,77635,,,1996-01-01T00:00:00Z,,,427990,,mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/g/121n49_z,https://filmwiki.nl/Ingeborg_Ansing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William_Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bert_Apeldoorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ger_Apeldoorn,,Koninkrijk der Nederlanden,nm0031990,1959-01-01T00:00:00Z,,Ger,schrijver;acteur;vertaler,,mannelijk,77962,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ger%20Apeldoorn%20%28acteur%20en%20schrijver%29.jpg,,,,mens,,Ger Apeldoorn,,,,,,,,,,283039547,,viaf-283039547,,,0000 0003 6913 400X,,,069684340,,,,,,,,,,,,,,,,,,,,1902096,,,,,,,,,,,,,,,,,,Ger Apeldoorn,apel012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martijn_Apituley,,Koninkrijk der Nederlanden,nm0032053,1948-08-04T00:00:00Z,,Martijn,acteur,,mannelijk,77971,,,,,,413421,,mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan_Apon,,,,,,,,,,,,,,,,,,Wikimedia-doorverwijspagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenny_Arean,http://www.jennyarean.com/,Koninkrijk der Nederlanden,nm0034154,1942-10-04T00:00:00Z,,Jenny,schrijver;acteur;zanger;cabaretier,Lisse,vrouwelijk,78107,,,1962-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Jenny%20Arean.png,Arean,411148,/m/01vz8b4,mens,,Jenny Arean,,,,,,Jenny Arean,,266ffc28-87e1-4e45-8a93-ec2492b341de,,317277628,agent/base/33641,lccn-nb2019006971,stem,534736,0000 0003 6897 2116,181053,,,M00000280361,,,p130738,,,,,,toneel/jenny-arean,,,295850,,,,Nationale Scheveningen Cabaretprijs;Ridder in de Orde van Oranje-Nassau;Johan Kaartprijs;Gouden Harp;Annie M.G. Schmidt-prijs,,,,,,,,,,936537,,,,,,,,,,,,,441520,jenny-arean,Nederlands,Iedereen Leest,Nederlands,Iedereen Leest,contra-alt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adigun_Arnaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josefine_van_Asdonk,,Koninkrijk der Nederlanden,nm0038548,1974-10-06T00:00:00Z,,Josefine,acteur;televisiepresentator,Amsterdam,vrouwelijk,256234,,,,,,409079,,mens,,,,,,,,,,,,,,,,,,768822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/g/121_tvzv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry_Atsma,http://www.barryatsma.nl/,Koninkrijk der Nederlanden,nm0040038,1972-01-01T00:00:00Z;1972-12-29T00:00:00Z,,Barry,acteur;televisieacteur;uitvoerend kunstenaar;filmacteur,Bromley,mannelijk,78681,,,1993-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/MJK%2012688%20Barry%20Atsma%20%28Bad%20Banks%29.jpg,Atsma,147703,/m/0cmyk2c,mens,,Barry Atsma,,,,,,,,,,101165778,,lccn-no2016116248,,336486,0000 0003 7204 5462,759374,431967,314953272,,,,p488008,,,,,139423907;1074444388,toneel/barry-atsma,no2016116248,,,,,,Gouden Kalf voor beste acteur,,,1914472,,,,,,409591,,56707,2e68b7381fb849368e770ae7e5b65e53,1074444388,,,,15895244g,,,https://filmwiki.nl/Barry_Atsma,,,,,Engels,,,,,4158565,48985,00150470,2016848,115699,n0015397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doris_Baaten,,Koninkrijk der Nederlanden,nm0044691,1956-04-12T00:00:00Z,,Doris,televisieacteur;uitvoerend kunstenaar;televisiepresentator;presentator,,vrouwelijk,77741,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Doris%20Baaten%20IMG%201015.JPG,,,/m/0bc7cp,mens,,Doris Baaten,,,,,,,,,,287174450,,viaf-287174450,,,0000 0003 9299 6476,1062420,,094783217,,,,,,,,,,,,,,,,,,,,1896742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragan_Bakema,,Koninkrijk der Nederlanden,nm0048182,1980-05-12T00:00:00Z,,Dragan,schrijver;acteur;filmproducent;scenarioschrijver;televisieacteur;uitvoerend kunstenaar;gymnast,Appelscha,mannelijk,78906,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dragan%20Bakema%20IFFR-1.jpg,,,/m/0bdt8yp,mens,,Dragan Bakema,,,oeuvre auteursrechtelijk beschermd,,,,,,,232422424,,viaf-232422424,,,0000 0003 6613 0994,,,271253452,,,,,,,,,1020040467,,,,,,,,,,,1918351,,,,xx0184909,,,,,567f4617227746769a1f3996d688558d,1020040467,,,,,,,,,,,,Nederlands,,,,,,,,,,,turnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annelies_Balhan,,Koninkrijk der Nederlanden,nm0050179,1948-05-27T00:00:00Z,,Annelies,acteur,,vrouwelijk,79433,,,,,,,,mens,,,,,,,,,,,,,,,,,,1059374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piet_Bambergen,,Koninkrijk der Nederlanden,nm0051408,1931-03-03T00:00:00Z,,Piet,acteur,,mannelijk,79535,,,1948-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Piet%20Bambergen%20%281971%29.jpg,,,,mens,,Piet Bambergen,,,,,1996-06-15T00:00:00Z,,,,,285289081,,viaf-285289081,,,0000 0003 9148 0128,,,070661006,M00000048883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdullah_El_Baoudi,,Koninkrijk der Nederlanden,nm2186187,1986-11-04T00:00:00Z,,Abdullah,televisieacteur;filmacteur,Agadir,mannelijk,79639,,,,,,423814,/m/0lywdhj,mens,,,,,,Agadir,2012-04-11T00:00:00Z,,,,,,,,,,,1421382,653678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edda_Barends,,Koninkrijk der Nederlanden,nm0054441,1942-04-07T00:00:00Z,,Edda,acteur,Amsterdam,vrouwelijk,79728,,,1967-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Edda%20Barends.png,Barends,414051,/m/0b69mtb,mens,,,,,,,,,,,,87339427,,lccn-no2002032569,,,0000 0000 6099 0668,165160,,07413096X,,,,p3911,,,,,,,no2002032569,,,,,,,,,,,,,,,,,,,,,,,,,,https://filmwiki.nl/Edda_Barends,,,,,,,,,,,,,,,,,XX1605171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annette_Barlo,http://www.annettebarlo.nl/,Koninkrijk der Nederlanden,nm0055190,1974-11-08T00:00:00Z,,Annette,acteur;televisieacteur;televisiepresentator;presentator,Bunnik,vrouwelijk,79984,,,1987-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Annette%20Barlo.jpg,,408165,,mens,,Annette Barlo,,,,,,,,,,,,,,,,1667115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/g/121jcgkm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wim_Bary,,Koninkrijk der Nederlanden,nm0059503,1929-01-13T00:00:00Z,,Wim,acteur;toneelregisseur,Leeuwarden,mannelijk,80218,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wim%20Bary%201980.jpg,Bary,,/m/0kdt772,mens,,Wim Bary,,,,,2010-11-07T00:00:00Z,,,,,31180114,,lccn-n91098835,,,0000 0000 3315 1340,831629,,073688592,,,,,,,,,,,n91098835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad_Bastiaanse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frans_Bauer,http://www.fransbauer.nl,Koninkrijk der Nederlanden,nm1467902,1973-12-30T00:00:00Z,,Frans,zanger;televisiepresentator;presentator,Roosendaal,mannelijk,77264,,,1994-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Fransbauer.jpg,Bauer,403775,/m/01pp5l0,mens,,Frans Bauer,,,,,,,,16d62c7f-e1d6-4f94-9b44-dfb531f59b4a,frans_bauer,33191083,agent/base/93911,lccn-no2008085824,stem,,0000 0000 5547 065X,,,163077258,M00000019647,,,,,,,,133550540,populaire-muziek/frans-bauer,no2008085824,,433630,popmuziek;levenslied,frans-bauer,mn0001733489,Zilveren Harp;Ridder in de Orde van Oranje-Nassau;Gouden Harp,,,,,456029,,,,,,,,,,,,,,,,,,,,Nederlands;Duits,,,,,,,,,,,,,362521,Frans-bauer,Frans-Bauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom_van_Beek,,Koninkrijk der Nederlanden,nm0066390,1931-12-26T00:00:00Z,,Tom,schrijver;acteur,Maastricht,mannelijk,80649,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tom%20van%20Beek.png,Van Beek,431209,,mens,,Tom van Beek,,,oeuvre auteursrechtelijk beschermd,Amsterdam,2002-01-20T00:00:00Z,,,,,289165662,,viaf-289165662,,,0000 0003 9461 6713,,,070333750,M00000520394,,,,,,,,1100739157,,,,,,,,,,,,,,,,,75685,,,,1100739157,,,,,,,,,beek072,,,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menno_van_Beekum,,Koninkrijk der Nederlanden,nm0885673,1955-12-10T00:00:00Z,,Menno,schrijver;acteur,Den Haag,mannelijk,80951;80694,,,1985-01-01T00:00:00Z,,,424307,,mens,,,,,oeuvre auteursrechtelijk beschermd,,,,,,,18886396,,lccn-n93001278,,,0000 0000 4296 6832,,,097647470,,,,,,,,,,,n93001278,,,,,,,,,,,,,,,,,,,,,,,,,,,,beek011,,,Nederlands,,,,,,,,,,,,,,,,293480,397455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loek_Beernink,http://www.loekbeernink.com/,Koninkrijk der Nederlanden,nm2438140,1986-03-06T00:00:00Z,,Loek,acteur;zanger,Aalten,vrouwelijk,,,,2006-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Loek-beernink%20%28cropped%29.jpg,,97009,/m/0jxpmmd,mens,,Loek Beernink,,,,,,,,,,290617289,,viaf-290617289,stem,,0000 0003 9581 8245,,,304205931,,,,,,,,,,,,,,popmuziek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hans_Beijer,,Koninkrijk der Nederlanden,nm0067186,1948-05-11T00:00:00Z,,Hans,acteur,,mannelijk,,,,1976-01-01T00:00:00Z,,Beijer,,,mens,,,,,,,,,,,,,,,,191301,,281928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred_Benavente,,Koninkrijk der Nederlanden,nm0070250,1926-11-24T00:00:00Z,,Fred,schrijver;televisieregisseur;programmamaker,,mannelijk,81153,,,,http://commons.wikimedia.org/wiki/Special:FilePath/FredBenavente.jpg,Benavente,431891,,mens,,Fred Benavente,,,,,2005-12-02T00:00:00Z,,,,,286165635,,viaf-286165635,,,0000 0001 3072 2723,832204,,070026556,M00000392827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
